,iou,iou,iou,iou,iou,f1,f1,f1,f1,inference_time
,count,mean,std,min,max,mean,std,min,max,mean
size,,,,,,,,,,
256x384,570,0.8936,0.1384,0.0,0.9972,0.9356,0.1151,0.0,0.9986,0.6198
384x256,2742,0.8887,0.1551,0.0,0.9998,0.9305,0.1315,0.0,0.9999,0.6184
640x480,168,0.8792,0.1484,0.0219,0.997,0.927,0.1139,0.0429,0.9985,0.6325
800x600,143,0.519,0.3831,0.0,0.9776,0.5834,0.4022,0.0,0.9887,0.6156
